iso_ts,epoch_ts,inflight_requests,request_count,node_ready,node_not_ready
2026-03-21T22:12:17Z,1774131137,1,282274,1,0
2026-03-21T22:12:26Z,1774131146,0,282296,1,0
2026-03-21T22:12:34Z,1774131154,0,282311,1,0
2026-03-21T22:12:44Z,1774131164,1,282342,1,0
2026-03-21T22:12:53Z,1774131173,0,282360,1,0
2026-03-21T22:13:02Z,1774131182,1,282379,1,0
2026-03-21T22:13:11Z,1774131191,1,282405,1,0
2026-03-21T22:13:20Z,1774131200,1,282429,1,0
2026-03-21T22:13:29Z,1774131209,1,282449,1,0
2026-03-21T22:13:39Z,1774131219,3,282477,1,0
2026-03-21T22:13:48Z,1774131228,1,282494,1,0
2026-03-21T22:14:00Z,1774131240,1,282517,1,0
2026-03-21T22:14:09Z,1774131249,1,282543,1,0
2026-03-21T22:14:20Z,1774131260,1,282570,1,0
2026-03-21T22:14:30Z,1774131270,0,282592,1,0
2026-03-21T22:14:40Z,1774131280,2,282624,1,0
2026-03-21T22:14:49Z,1774131289,1,282640,1,0
2026-03-21T22:14:58Z,1774131298,1,282666,1,0
2026-03-21T22:15:06Z,1774131306,1,282686,1,0
2026-03-21T22:15:15Z,1774131315,1,282718,1,0
2026-03-21T22:15:24Z,1774131324,0,282733,1,0
2026-03-21T22:15:34Z,1774131334,1,282750,1,0
2026-03-21T22:15:43Z,1774131343,1,282770,1,0
2026-03-21T22:15:52Z,1774131352,2,282785,1,0
2026-03-21T22:16:02Z,1774131362,1,282796,1,0
2026-03-21T22:16:11Z,1774131371,1,282819,1,0
2026-03-21T22:16:20Z,1774131380,0,282832,1,0
2026-03-21T22:16:29Z,1774131389,1,282851,1,0
2026-03-21T22:16:38Z,1774131398,2,282872,1,0
2026-03-21T22:16:47Z,1774131407,2,282964,1,0
2026-03-21T22:16:56Z,1774131416,8,283230,1,0
2026-03-21T22:17:08Z,1774131428,4,283417,1,0
2026-03-21T22:17:19Z,1774131439,3,283545,1,0
2026-03-21T22:17:30Z,1774131450,0,283580,1,0
2026-03-21T22:35:28Z,1774132528,1,287351,1,0
2026-03-21T22:35:37Z,1774132537,0,287375,1,0
2026-03-21T22:35:46Z,1774132546,1,287409,1,0
2026-03-21T22:35:57Z,1774132557,0,287477,1,0
2026-03-21T22:36:06Z,1774132566,1,287503,1,0
2026-03-21T22:36:15Z,1774132575,1,287526,1,0
2026-03-21T22:36:24Z,1774132584,1,287549,1,0
2026-03-21T22:36:33Z,1774132593,1,287570,1,0
2026-03-21T22:36:42Z,1774132602,2,287598,1,0
2026-03-21T22:36:52Z,1774132612,2,287619,1,0
2026-03-21T22:37:00Z,1774132620,1,287639,1,0
2026-03-21T22:37:11Z,1774132631,3,287667,1,0
2026-03-21T22:37:21Z,1774132641,1,287693,1,0
2026-03-21T22:37:30Z,1774132650,0,287708,1,0
2026-03-21T22:37:39Z,1774132659,1,287731,1,0
2026-03-21T22:37:48Z,1774132668,0,287755,1,0
2026-03-21T22:37:57Z,1774132677,0,287775,1,0
2026-03-21T22:38:07Z,1774132687,1,287800,1,0
2026-03-21T22:38:16Z,1774132696,1,287823,1,0
2026-03-21T22:38:26Z,1774132706,0,287846,1,0
2026-03-21T22:38:35Z,1774132715,2,287868,1,0
